id,area,established_result,closest_known_construction,exact_overlap,genuine_difference,theorem_level_novelty,computational_novelty,limitation
PA_V3_COLORED_OPERADS,"Yau, Colored Operads",Typed operations and rooted-tree partial composition are standard colored-operad semantics.,,The v3 type grammar and ordered tree model.,Orthogonal projection defects and quantitative nodewise certificates are additional analytic data.,STANDARD_RESTRICTION_RESULT,NOT_ESTABLISHED,
PA_V3_ALGEBRAIC_OPERADS,"Loday and Vallette, Algebraic Operads",Treewise composition and polynomial identities for algebras over operads.,,Signed forests and insertion-tree syntax.,Quantitative normal leakage is not the monograph's central problem.,KNOWN_BOUND_NEW_SPECIALIZATION,NOT_ESTABLISHED,
PA_V3_APPROXIMATE_HOMOMORPHISMS,"Johnson, Approximately multiplicative maps between Banach algebras",Approximate multiplicativity can imply proximity to exact homomorphisms under Banach-algebra hypotheses.,,Quantitative stability language for algebraic structure.,V3 propagates nodewise normal projection defects on a fixed finite tree rather than correcting a map globally.,NOVELTY_NOT_ESTABLISHED,NOT_ESTABLISHED,
PA_V3_BACKWARD_ERROR,"Higham, Accuracy and Stability of Numerical Algorithms",Compositional forward/backward error analysis and order-sensitive arithmetic bounds are standard.,,Local error propagation and evaluation-order comparisons.,Exact multilinear projector residuals and typed tree topology.,KNOWN_BOUND_NEW_SPECIALIZATION,NOT_ESTABLISHED,
PA_V3_LAYERED_LIPSCHITZ,"Combettes and Pesquet, Lipschitz Certificates for Layered Network Structures",Architecture-sensitive composition can improve products of individual Lipschitz bounds.,,Dynamic propagation of local operator summaries.,"V3 uses multilinear branching, normal/projected blocks, and source residuals.",NOVELTY_NOT_ESTABLISHED,NOT_ESTABLISHED,
PA_V3_ABSTRACT_INTERPRETATION,"Gehr et al., AI2",Sound compositional overapproximation through computational graphs.,,Nodewise abstract summaries and recursively propagated enclosures.,No neural activation or robustness property; exact multilinear projector decomposition.,NOVELTY_NOT_ESTABLISHED,NOT_ESTABLISHED,
PA_V3_HIERARCHICAL_TENSORS,"Hackbusch and Kuehn, A New Scheme for the Tensor Representation",Hierarchical tensor formats organize approximation by dimension trees.,,Topology-dependent finite tree calculations.,V3 studies recursive projection of law outputs rather than rank truncation of one tensor.,NOVELTY_NOT_ESTABLISHED,NOT_ESTABLISHED,
PA_V3_TREE_ADAPTIVE_TENSORS,"Ballani and Grasedyck, Tree Adaptive Approximation in the Hierarchical Tensor Format",Tree choice affects hierarchical tensor approximation and can be optimized computationally.,,Tree topology as an experimental factor.,"Constants concern closure and recursive projection, not hierarchical ranks.",NOVELTY_NOT_ESTABLISHED,NOT_ESTABLISHED,
PA_V3_CP_TUCKER,"Kolda and Bader, Tensor Decompositions and Applications",CP/Tucker representation error and nonuniqueness are standard.,,Secondary CP representation budget.,CP error is separated from closure error.,KNOWN_BOUND_NEW_SPECIALIZATION,NOT_ESTABLISHED,
PA_V3_INTERVAL,"Moore, Kearfott, and Cloud, Introduction to Interval Analysis",Directed interval arithmetic certifies finite enclosures.,,Small explicit lower-construction enclosures.,Application to tree constant ratios only.,STANDARD_MULTILINEAR_BOUND,NOT_ESTABLISHED,
PA_V3_SOS,"Lasserre, Global Optimization with Polynomials and the Problem of Moments",Moment/SOS relaxations provide certified polynomial optimization bounds under stated conditions.,,Proposed small-case global certificates.,V3 does not claim an SDP certificate unless solver and relaxation status are independently validated.,STANDARD_MULTILINEAR_BOUND,NOT_ESTABLISHED,
PA_V3_STRUCTURE_PRESERVING_ROM,"Egger et al., Structure-Preserving Model Reduction",Projection can preserve dynamical structure under compatibility conditions.,,Projection hypotheses and quantified loss of structure.,Static finite multilinear composition trees and closure leakage.,NOVELTY_NOT_ESTABLISHED,NOT_ESTABLISHED,
