key,title,year,origins,cy_score,read_level,threat,flag_L2,l3_file,judgment,reason
10.1080/01630563.2023.2270308,How Averaged is the Composition of Two Linear Projections?,2023,fwd:OY02,4,title+abstract,2,True,L3_CY_bauschke2023.md,override,exact averagedness modulus of P_V P_U via Friedrichs angle; OY bound optimal; m=2
10.1016/j.jmaa.2020.124211,Tight coefficients of averaged operators via scaled relative graph,2020,fwd:CY15;fwd:OY02;kw:openalex:CY1;kw:openalex:CY2;kw:openalex:CY3,4,title+abstract,2,True,L3_CY_huang2020.md,override,arXiv record of HRY20
10.1007/s11075-017-0310-4,Convergence properties of dynamic string-averaging projection methods in the presence of perturbations,2017,fwd:CY15,3,title+abstract,1,False,,override,products of infinitely many operators; rates
10.1023/a:1014737602641,Exact Minkowski Products of N Complex Disks,2002,kw:openalex:CY3,3,title+abstract,2,False,,override,"round-1/HET L3 exists (L3_farouki2002, L3_HET_huang2020); heuristic N-disk boundary"
10.1186/s13663-021-00706-3,Feasibility-based fixed point networks,2021,kw:openalex:CY1,3,title+abstract,1,False,,rule,keyword rule on title (broad field)
10.1007/s00025-021-01481-8,On $\alpha$-Firmly Nonexpansive Operators in $r$-Uniformly Convex Spaces,2021,fwd:CY15,3,title+abstract,1,False,,override,duplicate record
10.48550/arxiv.2010.05726,On a notion of averaged operators in CAT(0) spaces,2020,fwd:CY15,3,title+abstract,1,False,,override,CAT(0)
10.1186/s13663-021-00709-0,On compositions of special cases of Lipschitz continuous operators,2021,fwd:CY15;fwd:OY02;kw:openalex:CY1;kw:openalex:CY4,3,title+abstract,2,True,L3_CY_giselsson2021.md,override,Thm 4.7 m-fold conic composition constant (CY form); tightness only m=2 examples
10.2140/apde.2013.6.893,Restriction and spectral multiplier theorems on asymptotically conic manifolds,2013,kw:openalex:CY1,3,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.13001/1081-3810.3910,The determinant of a complex matrix and Gershgorin circles,2019,kw:openalex:CY3,3,title+abstract,1,True,L3_CY_bunger2019.md,override,n-fold products of disks centred at 1; membership
10.1118/1.4790468,Tight‐frame based iterative image reconstruction for spectral breast CT,2013,kw:openalex:CY1,3,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.48550/arxiv.2104.11302,$α$-Firmly Nonexpansive Operators on Metric Spaces,2021,kw:openalex:CY1,2,title+abstract,1,False,,override,metric-space generalization
10.1103/physrevd.89.126008,1/N correction in the D3-brane description of a circular Wilson loop at strong coupling,2014,kw:openalex:CY3,2,title+abstract,0,False,,rule,keyword rule on title (off-topic)
oa:W2964103805,4 ITERATION-COMPLEXITY OF A GENERALIZED FORWARD BACKWARD SPLITTING ALGORITHM,2014,fwd:OY02,2,title+abstract,1,False,,rule,keyword rule on title (broad field)
10.1287/moor.24.3.544,A Sharp Upper Bound for the Expected Number of Shadow Vertices in LP-Polyhedra Under Orthogonal Projection on Two-Dimensional Planes,1999,kw:openalex:CY4,2,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.1007/jhep09%282019%29020,A general proof of the quantum null energy condition,2022,kw:openalex:CY3,2,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.48550/arxiv.1604.04845,A stochastic coordinate descent inertial primal-dual algorithm for large-scale composite optimization,2016,fwd:OY02,2,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.48550/arxiv.1604.04172,A stochastic coordinate descent primal-dual algorithm with dynamic stepsize for large-scale composite optimization,2016,fwd:OY02,2,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.48550/arxiv.2104.14832,A string averaging method based on strictly quasi-nonexpansive operators with generalized relaxation,2021,fwd:CY15,2,title+abstract,1,False,,rule,keyword rule on title (broad field)
10.5802/aif.3019,Approximation numbers of composition operators on H p spaces of Dirichlet series,2016,kw:openalex:CY4,2,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.1016/j.physletb.2016.05.066,Bethe–Salpeter bound-state structure in Minkowski space,2016,kw:openalex:CY2,2,title+abstract,0,False,,rule,keyword rule on title (off-topic)
10.1016/j.jmaa.2014.11.044,Compositions and convex combinations of averaged nonexpansive operators,2014,fwd:OY02;kw:openalex:CY1;kw:openalex:CY4,2,title+abstract,3,True,L3_CY_combettes2015.md,override,arXiv record of CY15
