key,threat_L2,access,theorem_location,claims_affected,verdict,level3
errortransportationinsvdbasedtensortrainapproximations,3,ABSTRACT_ONLY,"Abstract and HAL metadata only (hal-05554951v2; full text behind HAL bot-challenge, not retrieved): global error decomposition, a priori bounds, chain-case Pythagorean identity, transport-normalized variant",R1a;R3;R9,"Zniyed-Boyer track how local SVD truncations of a single tensor propagate through linear transport operators on dimension trees, with data-dependent tree-dependent conditioning factors and a sharp Pythagorean identity only in the chain case; this is a linear setting without multilinear products or projection defects and its tree dependence runs opposite to R3, so no R-claim appears to follow, but the full text should be obtained manually to confirm.",no
10.1137/120885723,2,FULL_TEXT,Lemma 4.5 (curvature bounds); Thms 5.1-5.3 (quasi-best DLRA error),R9,"Dynamical HT/TT approximation with tangent-space projector curvature estimates and quasi-optimality under singular-value lower bounds; constants are tree-dependent and not sharp, and there is no accumulation bound for projected multilinear trees.",no
10.1137/15m1026791,2,ABSTRACT_ONLY,Main error bounds for the projector-splitting integrator (matrix case and TT extension),R9,"Projector-splitting integrator error bounds of order h plus modelling error, robust to small singular values, for matrices and TT; a time-integration setting with no multilinear tree defect bound and no sharp constant.",no
10.1137/24m1714502,2,FULL_TEXT,"arXiv:2412.00858 Thm 3.1; Thm 4.3 (restates Ceruti-Lubich-Sulz Thm A.1, c = norm(C)(d-1)+1); Thm 4.5",R1a;R9,"Parallel BUG for Tucker/TTN with a robust error bound depending only on Lipschitz constant and bound of F; its rank-truncation part merely cites the already-known Ceruti-Lubich-Sulz Thm A.1, nothing sharp or new relative to R.",no
10.1137/090748330,2,ABSTRACT_ONLY,SVD-based Tree-Tucker/TT construction error bound (root-sum-of-squares of local truncation errors; exact location not verified),R9,"Standard SVD-based Tree-Tucker/TT construction with a root-sum-of-squares truncation bound for a single tensor; linear nested projections, non-sharp quasi-optimality, no multilinear composition.",no
10.1103/physrevlett.91.147902,1,FULL_TEXT,"Footnote [11] (truncated Schmidt decomposition, fidelity remark)",R9,Vidal's simulation paper treats Schmidt truncation only informally in a footnote; no accumulated-error theorem and no constants.,no
10.1007/s00211-013-0544-6,1,FULL_TEXT,MiS preprint 17/2012 Thm 2.1 (L-infinity estimate via Gagliardo-Nirenberg),R9,Converts L2 HOSVD truncation error into L-infinity estimates using smoothness; no propagation through chains or trees of multilinear maps.,no
10.1103/physrevb.98.085155,1,FULL_TEXT,arXiv:1801.05390 Sect. V (optimal truncation of an internal index),R9,Gauge fixing and single-index optimal truncation in loopy networks (algorithmic); no a priori accumulated error bound or sharp constant.,no
10.1137/110836067,2,FULL_TEXT,Thm 5.1 (exact orthogonal Tucker truncation error); Thm 6.4 (ST-HOSVD error); Thm 6.5 (bound by d times best),R9,"ST-HOSVD gives exact Pythagorean error expressions for sequential orthogonal projections of one tensor and a non-sharp quasi-optimality factor; linear projections, no multilinear defects.",no
10.1016/j.laa.2014.06.006,2,FULL_TEXT,arXiv:1305.1818 Thm 1 (factor (2r+kappa r+1)^ceil(log2 d)); Thms 2-3,R1a;R9,Error amplification of maximum-volume cross interpolation through recursive (balanced) dimension splitting with structure-dependent non-sharp factors; only the telescoping idea is shared.,no
10.1007/s10208-013-9187-3,2,FULL_TEXT,arXiv:1304.7796 Thm 5; Remark 2 (kappa_P = sqrt(m) or sqrt(2m-3)); Lemma 2; Thm 6,R9,"Adaptive recompression/coarsening in Tucker/HT using HSVD quasi-optimality constants sqrt(2m-3) (Grasedyck, already known) plus a perturbation lemma; not sharp, no multilinear accumulation.",no
10.1016/j.laa.2011.02.026,2,ABSTRACT_ONLY,"Abstract (T. Jain, LAA 435 (2011) 1111-1121); related open full text Bhatia-Grover-Jain arXiv:1102.2414 Thm 1.1",R1b;R7,"Exact norms of higher derivatives of antisymmetric tensor powers give attained Taylor-type perturbation bounds for a multilinear map; there are no projections or truncations, so R1b/R7 do not follow and only a multilinear-telescoping technique is shared.",no
10.1137/090752286,2,ABSTRACT_ONLY,Thm 2.2 (TT-SVD error sqrt(sum eps_k^2)); Cor 2.4 (sqrt(d-1) quasi-optimality),R9,"Classical TT-SVD root-sum-of-squares bound for nested projections of a single tensor; linear chain setting, not sharp and not about multilinear products.",no
10.1007/s10444-018-9622-8,1,ABSTRACT_ONLY,Randomized Tucker/TT error bounds (in expectation),R9,Randomized range-finder Tucker/TT bounds in expectation; unrelated to deterministic accumulated projection defects.,no
10.1007/978-3-642-28027-6,2,ABSTRACT_ONLY,"Thm 11.58 (HOSVD truncation in hierarchical format, sqrt(2d-3)), as cited in Hackbusch MiS preprint 29/2018",R1a;R9,"The monograph contains the standard hierarchical HOSVD truncation bound sqrt(2d-3) (Grasedyck-type, already known) and successive truncation; no sharp tree-independent multilinear defect constant.",no
10.1007/978-3-030-35554-8,2,ABSTRACT_ONLY,"Ch. 11 (hierarchical HOSVD truncation; 2nd-edition analogue of 1st-edition Thm 11.58, numbering not verified)",R1a;R9,Second edition of the monograph with the same hierarchical truncation theory; same assessment as the first edition.,no
10.1103/physrevb.73.094423,2,FULL_TEXT,arXiv:cond-mat/0505140 Lemma 1 (squared MPS error at most twice the sum of discarded weights),R9,"MPS approximation error bounded by twice the sum of discarded Schmidt weights over cuts; chain-specific, non-sharp, no multilinear projection defects.",no
10.1103/physrevlett.100.030504,1,FULL_TEXT,arXiv:0705.0292 eqs. (3)-(4) (upper bound quoted from Verstraete-Cirac; lower bound eps_k),R9,Uses the Verstraete-Cirac MPS truncation bound plus a simple lower bound to relate Renyi entropies and simulability; no new accumulation theorem.,no
10.1007/s40324-018-00184-5,2,FULL_TEXT,MiS preprint 29/2018 eq. (4.13) (sqrt(2d-3); sqrt(d-1) for TT); Sect. 4.6; Lemma 5.1; Thm 5.4,R1a;R3;R9,Expository account of HOSVD truncation in the hierarchical format with the known sqrt(2d-3) quasi-optimality and inheritance properties of SVD projections; no sharpness and no multilinear tree propagation.,no
