key,threat_L2,access,theorem_location,claims_affected,verdict,level3
10.48550/arxiv.1407.0671,2,FULL_TEXT,"arXiv:1407.0671v1 Thms 2.12, 2.13, 2.15, 2.16 (optimal rates of matrix powers); Thm 3.6 (relaxed AP), Thm 3.7 (partial relaxed AP), Thm 3.10 (generalized DR)",R6;R7,"Exact optimal linear rates for powers of relaxed-AP and generalized Douglas-Rachford matrices on two subspaces via principal-angle 2x2 block reduction (the DR blocks have eigenvalues of the form cos(theta)e^{+-i theta}), which shares the planar-angle object but bounds asymptotic rates of a single iterated operator, not the projected-vs-unprojected discrepancy; no statement implies R1a-R12. Preprint of the Numer. Algorithms 73 (2016) paper (duplicate of 10.1007/s11075-015-0085-4).",no
10.1007/978-3-0348-6253-0_7,1,ABSTRACT_ONLY,"Deutsch, ISNM 72 (1984) 96-107, main rate theorem (seen only via abstract and restatements in Bauschke-Deutsch-Hundal arXiv:0710.2387 and Badea-Grivaux-Muller arXiv:1006.2047)",none,"Classical proof of the angle-based rate for von Neumann alternating projections (error of iterated two-projection products versus projection onto the intersection, governed by the Friedrichs angle); different quantity, no inserted projections, no defect constraint, background only.",no
10.1016/j.jmaa.2004.12.050,1,ABSTRACT_ONLY,"Galantai, J. Math. Anal. Appl. 310 (2005) 30-44; abstract only (cheap estimates replacing Smith-Solmon-Wagner / Nelson-Neumann bounds)",none,"Computable upper estimates for the convergence speed of (relaxed) alternating projections in finite dimensions derived from the Smith-Solmon-Wagner and Nelson-Neumann bounds; concerns iterate convergence to the intersection, no sharp constant of R1b type and no tree/defect structure.",no
10.1007/s11075-015-0085-4,2,FULL_TEXT,"Numer. Algorithms 73 (2016) 33-76 (online 2015); content read via arXiv:1407.0671: Thms 2.13, 2.15, 3.6, 3.7, 3.10",R6;R7,"Published version of arXiv:1407.0671 (same work as that row): sharp optimal rates for relaxed AP and generalized DR for two subspaces in terms of the Friedrichs angle via planar block reduction; shared angle/2x2 technique, but no result on discrepancy of inserted projections, no multi-angle extremization, so adjacent.",no
10.1007/s10589-021-00275-6,1,FULL_TEXT,"arXiv:2007.14466: Prop 3.1, Cor 3.2, Prop 3.3, Thm 3.5, Section 4 examples (Props 4.1-4.10)",none,"Compares asymptotic linear/superlinear constants of circumcentered-reflection versus alternating projections for a convex set and an affine subspace under error-bound assumptions; unrelated to inserted-projection discrepancy bounds.",no
10.1080/03081088308817526,1,ABSTRACT_ONLY,"Reich, Linear Multilinear Algebra 13 (1983) 281-290; metadata via Crossref, content only via secondary citations (not seen)",none,"Qualitative limit theorem for iterated products of projections (von Neumann-Halperin type extension, cited in the Banach/uniformly convex setting); no rate or constant, background only.",no
10.1016/j.jmaa.2010.01.036,2,FULL_TEXT,"arXiv:0810.3072: Prop 2.3 (class CH(alpha) closed under symmetrized/commuting products), Thm 2.7, Thm 3.4 (numerical range of exp(-tS) in a lens-type region), Prop 3.5 (region Q(alpha) is a multiplicative semigroup), Thm 4.1 (Euler O(1/n))",R7,"Localizes numerical ranges of sectorial contraction semigroups in lens-shaped regions of C that are closed under multiplication, sharing the geometric idea of multiplicative regions near the circle |z-1/2|=1/2, but it bounds numerical ranges and Euler-formula rates, not max|1-prod cos(theta_j)e^{i theta_j}| or any projection-insertion error.",no
10.1103/prxquantum.4.020304,1,FULL_TEXT,"arXiv:2207.05612 Sec. V-B (fidelity estimate as product of partial fidelities, Eq. (27)) and Fig. 10 validation",R1a;R12,"Circuit DMRG with truncation; total fidelity is estimated heuristically as the product of per-sweep/per-tensor partial fidelities and checked numerically, with no rigorous operator-norm error bound, no sharp constant and no tree-independence claim.",no
10.1007/s11075-018-0608-x,1,FULL_TEXT,"arXiv:1711.06521: Thm 3.1 (rate of AAMR operator vs Friedrichs angle), Thm 3.2 (optimal parameters, rate (1-sin)/(1+sin)), Cor 3.1, Thm 4.1",R6,"Optimal linear rates of the averaged alternating modified reflections method for two subspaces as explicit functions of the Friedrichs angle and parameters, via the same principal-angle block reduction as Bauschke et al.; adjacent, no implication for R1a-R12.",no
10.1016/0022-247x(86)90085-5,1,ABSTRACT_ONLY,"Franchetti-Light, J. Math. Anal. Appl. 114 (1986) 305-314; abstract/secondary only",none,"Analysis of Dykstra/von Neumann alternating algorithm for two closed convex sets, including arbitrarily slow convergence when the subspace sum is not closed; qualitative/rate-failure results, background only.",no
10.1007/s00211-012-0512-6,1,ABSTRACT_ONLY,"Bai-Liu, Numer. Math. 124 (2013) 215-236; abstract only: lower bound complementing Meany inequality, block Meany inequality, Kaczmarz/Householder-Bauer convergence theorems",R1a,"Bounds the norm of a product of (block) orthogonal projections complementary to hyperplanes via Gram-determinant (Meany-type) inequalities to analyze row-action methods; this controls the size of a projection product, not the discrepancy created by inserting projections into a contraction chain, and has no angle-sharp constant of R1b type.",no
10.1016/j.jmaa.2014.11.044,1,FULL_TEXT,"arXiv:1407.5100: Prop 2.4 (two-operator averagedness constant), Prop 2.5-2.6 (m operators), Thm 3.5 and Sec. 4 algorithms",R6,"Averagedness constants for compositions and convex combinations of averaged operators (Ogura-Yamada formula and its m-fold extension) used for fixed-point algorithm design; a composition-constant result for nonlinear operators with no projection-insertion discrepancy, defect parameter or angle extremization.",no
10.1007/s10107-015-0964-4,1,FULL_TEXT,"arXiv:1404.4837: Lemma 5-6, Thm 1 (pointwise O(1/sqrt k) with summable errors), Thm 3 (local linear rate under metric subregularity), Thm 5 (non-stationary KM)",R12,"Inexact Krasnoselskii-Mann iteration with additive, summable per-iteration errors yields O(1/sqrt k) residual and local linear rates; error accumulation through nonexpansive maps is a generic shared ingredient, but there is no finite-composition discrepancy bound with a sharp constant or tree structure.",no
10.1109/tac.2018.2808442,1,ABSTRACT_ONLY,"Banjac-Goulart, IEEE TAC 63(12) (2018) 4126-4139; abstract only (preprint link on author page did not resolve)",R6,"Necessary and sufficient conditions and tight global linear rate bounds for operator splitting methods whose fixed-point operator is averaged/strongly quasi-nonexpansive; iterate-rate results for convex optimization, not projection-insertion error constants.",no
10.1016/j.jmaa.2020.124211,3,FULL_TEXT,"arXiv:1912.01593v3: Fact 1 (SRG of alpha-averaged class = Disk(alpha), circle through 1 centered 1-alpha), Thm 1 (SRG of composition of two averaged classes = Minkowski product Disk(a1)Disk(a2), boundary a Cartesian oval), Cor 1 (tight Ogura-Yamada constant), Thm 2/Cor 2 (Davis-Yin)",R6;R7,"Rigorously identifies the exact planar region of products z1z2 with z_i in disks through 1 (for alpha=1/2 exactly the disk |z-1/2|<=1/2 containing cos(theta)e^{i theta}) and extracts a tight constant by curvature matching at 1, which is the same geometric object and a similar tightness method as R6/R7, but it treats only two factors, no angle restriction theta<=arcsin(eta), a different functional (smallest averaged circle rather than max|1-product|), and nonlinear averaged operators rather than projection insertion, so it does not imply R1b or R7.",no
