timestamp,database,family,query,request,status,results_total,records_saved,notes
2026-09-14T17:05:30,openalex,O1,"""hierarchical Tucker"" nodewise truncation error tolerance",https://api.openalex.org/works?search=%22hierarchical+Tucker%22+nodewise+truncation+error+tolerance&per-page=25,OK,3,3,
2026-09-14T17:06:31,arxiv,O1,"""hierarchical Tucker"" nodewise truncation error tolerance",,ERROR,,0,HTTPError: HTTP Error 429: Unknown Error
2026-09-14T17:06:33,zbmath,O1,"""hierarchical Tucker"" nodewise truncation error tolerance",https://api.zbmath.org/v1/document/_search?search_string=%22hierarchical+Tucker%22+nodewise+truncation+error+tolerance&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T17:06:54,semanticscholar,O1,"""hierarchical Tucker"" nodewise truncation error tolerance",https://api.semanticscholar.org/graph/v1/paper/search?query=%22hierarchical+Tucker%22+nodewise+truncation+error+tolerance&limit=10&fields=title%2Cyear%2Cvenue%2CexternalIds%2Cauthors%2Cabstract%2CcitationCount,OK,15,10,
2026-09-14T17:06:56,openalex,O1,"""tensor train"" local truncation errors accumulation bound",https://api.openalex.org/works?search=%22tensor+train%22+local+truncation+errors+accumulation+bound&per-page=25,OK,108,25,
2026-09-14T17:06:56,arxiv,O1,"""tensor train"" local truncation errors accumulation bound",,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T17:06:58,zbmath,O1,"""tensor train"" local truncation errors accumulation bound",https://api.zbmath.org/v1/document/_search?search_string=%22tensor+train%22+local+truncation+errors+accumulation+bound&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T17:07:13,semanticscholar,O1,"""tensor train"" local truncation errors accumulation bound",,ERROR,,0,HTTPError: HTTP Error 429: 
2026-09-14T17:07:15,openalex,O1,"""tree tensor network"" local error propagation bound",https://api.openalex.org/works?search=%22tree+tensor+network%22+local+error+propagation+bound&per-page=25,OK,248,25,
2026-09-14T17:07:15,arxiv,O1,"""tree tensor network"" local error propagation bound",,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T17:07:17,zbmath,O1,"""tree tensor network"" local error propagation bound",https://api.zbmath.org/v1/document/_search?search_string=%22tree+tensor+network%22+local+error+propagation+bound&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T17:07:17,semanticscholar,O1,"""tree tensor network"" local error propagation bound",,SKIPPED,,0,rate limited earlier in this run
2026-09-14T17:07:19,openalex,O1,"hierarchical tensor approximation node-dependent error estimate ""dimension tree""",https://api.openalex.org/works?search=hierarchical+tensor+approximation+node-dependent+error+estimate+%22dimension+tree%22&per-page=25,OK,84,25,
2026-09-14T17:07:19,arxiv,O1,"hierarchical tensor approximation node-dependent error estimate ""dimension tree""",,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T17:07:21,zbmath,O1,"hierarchical tensor approximation node-dependent error estimate ""dimension tree""",https://api.zbmath.org/v1/document/_search?search_string=hierarchical+tensor+approximation+node-dependent+error+estimate+%22dimension+tree%22&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T17:07:21,semanticscholar,O1,"hierarchical tensor approximation node-dependent error estimate ""dimension tree""",,SKIPPED,,0,rate limited earlier in this run
2026-09-14T17:07:23,openalex,O1,nested compositions approximation error propagation tree tensor network,https://api.openalex.org/works?search=nested+compositions+approximation+error+propagation+tree+tensor+network&per-page=25,OK,759,25,
2026-09-14T17:07:23,arxiv,O1,nested compositions approximation error propagation tree tensor network,,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T17:07:25,zbmath,O1,nested compositions approximation error propagation tree tensor network,https://api.zbmath.org/v1/document/_search?search_string=nested+compositions+approximation+error+propagation+tree+tensor+network&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T17:07:25,semanticscholar,O1,nested compositions approximation error propagation tree tensor network,,SKIPPED,,0,rate limited earlier in this run
2026-09-14T17:07:27,openalex,O2,"""TT-SVD"" prescribed accuracy truncation threshold distribution",https://api.openalex.org/works?search=%22TT-SVD%22+prescribed+accuracy+truncation+threshold+distribution&per-page=25,OK,31,25,
2026-09-14T17:07:27,arxiv,O2,"""TT-SVD"" prescribed accuracy truncation threshold distribution",,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T17:07:29,zbmath,O2,"""TT-SVD"" prescribed accuracy truncation threshold distribution",https://api.zbmath.org/v1/document/_search?search_string=%22TT-SVD%22+prescribed+accuracy+truncation+threshold+distribution&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
2026-09-14T17:07:29,semanticscholar,O2,"""TT-SVD"" prescribed accuracy truncation threshold distribution",,SKIPPED,,0,rate limited earlier in this run
2026-09-14T17:07:31,openalex,O2,adaptive rank truncation tolerance allocation tensor network,https://api.openalex.org/works?search=adaptive+rank+truncation+tolerance+allocation+tensor+network&per-page=25,OK,552,25,
2026-09-14T17:07:31,arxiv,O2,adaptive rank truncation tolerance allocation tensor network,,SKIPPED,,0,arXiv API rate limited (HTTP 429) earlier in this run; preprints covered via OpenAlex
2026-09-14T17:07:33,zbmath,O2,adaptive rank truncation tolerance allocation tensor network,https://api.zbmath.org/v1/document/_search?search_string=adaptive+rank+truncation+tolerance+allocation+tensor+network&page=0&results_per_page=25,OK,0,0,no results (HTTP 404 from zbMATH)
