source_repository,source_path,practice_name,exact_behavior,problem_solved,maturity,dependencies,applicability_to_seion,adaptation_decision,target_seion_component,reason
ai-memory-orchestrator,.ai/manifest.yaml,canonical Git-native memory,"The manifest names .ai as canonical and separates machine, packs, and runtime paths.",prevents state loss and competing memory authorities,implemented,Python/stdlib,adopt,.ai/MEMORY_MANIFEST.yaml,Already compatible with SEION; retain with mathematical authority levels.,
ai-memory-orchestrator,.ai/machine/graph.json,graph neighborhood context,Machine graph exports support bounded retrieval and task context.,reduces context overload and stale handoffs,implemented,JSON graph,adopt,src/seion_core/canonical/context_compiler.py,Use deterministic graph BFS and explain inclusion/exclusion.,
ai-memory-orchestrator,amo/io.py,atomic file helpers,Central IO helpers create parent directories and write UTF-8 JSON/text.,reduces partial-write corruption,implemented,Python/stdlib,adopt with strengthening,src/seion_core/canonical/atomic.py,"Add locks, backups, optimistic hashes, and append-only events.",
ai-memory-orchestrator,.ai/evolution/,evolution and retrieval metrics,Optimization cycles and benchmark outputs are retained in .ai/evolution.,makes context quality measurable,implemented,JSON/JSONL,adopt,.ai/evolution/,Use repository health metrics without inventing a single health score.,
ema-ai,.ai/AGENT_POLICY_REGISTRY.yaml,authority ladder,Generative models propose; deterministic engines assign status; humans approve ambiguous changes.,prevents AI self-approval,implemented,YAML policy,adopt,governance/AUTHORITY_LADDER.yaml,Map formal proof and validated computation above empirical observations.,
ema-ai,.github/workflows/ci.yml,multi-job CI,"Independent backend, frontend, governance, contracts, and memory-integrity jobs run with least permissions.",isolates failure domains,implemented,GitHub Actions,adopt,.github/workflows/canonical-v4.yml,"Replace product-specific jobs with math, artifacts, docs, paper, package, and security jobs.",
ema-ai,.ai/KNOWN_BLOCKERS.md,explicit blocker ledger,"Capability states and validation boundaries are recorded as implemented, pending, blocked, or stale.",prevents release overclaims,implemented,Markdown,adopt,.ai/KNOWN_BLOCKERS.md,"Keep mathematical, software, data, and human-review blockers separate.",
ema-ai,.ai/MEMORY/RELEASE_STATE_LEDGER.md,release candidate evidence,"Release artifacts carry exact source identity, hashes, and human gates.",makes release decisions auditable,implemented,Markdown/YAML,adopt,artifacts/release_v4/,"Use separate paper, software, dataset, and extended-experiment decisions.",
aec-agentic,"agents/, standard/, schemas/",typed domain entities,"The control plane organizes typed agents, schemas, commands, and bounded contexts.",prevents untyped cross-domain writes,implemented,Python/JSON Schema,adopt,src/seion_core/canonical/models.py,"Use dataclasses plus JSON-serializable records, no service mesh.",
aec-agentic,agents/ and audit trails,append-only evidence and review decisions,Candidate evidence is distinct from accepted evidence and review decisions are recorded.,preserves epistemic provenance,implemented,JSONL events,adopt,claims/evidence_ledger.jsonl and .ai/evidence/,Agents may propose; services append events; accepted authority is explicit.,
aec-agentic,apps/connectors/,application-service boundaries,Domain operations are routed through services rather than arbitrary direct mutations.,centralizes validation and policy,partial,Python/TypeScript,adopt narrowly,src/seion_core/canonical/services.py,Implement file-backed application services suitable for a research repository.,
aec-agentic,infra/ and docker-compose.yml,distributed deployment infrastructure,The reference includes cloud/database/service orchestration.,supports product deployment,implemented,Docker/cloud,reject,none,"SEION is a finite mathematical repository; no PostgreSQL, Kubernetes, or microservices requirement exists.",
bluebim-web,.obsidian/ and .ai/,human-readable graph mirror,Obsidian graph views and markdown notes expose repository structure to humans.,improves navigation and review,implemented,Obsidian/Markdown,adopt as derived mirror,.obsidian/seion-memory/,Canonical authority remains structured Git data; managed markers preserve human text.,
bluebim-web,.claude/skills/,managed generated sections,Generated content is bounded by explicit markers and can be synchronized without overwriting human prose.,prevents mirror drift and destructive regeneration,partial,Markdown scripts,adopt,scripts/build_obsidian_mirror.py,Use SEION-GENERATED and BEGIN/END markers.,
bluebim-web,src/server/ and public/,web application runtime,The reference uses a frontend/server product architecture.,serves interactive domain workflows,implemented,Node/React,reject,none,A read-only static graph viewer is sufficient for SEION.,
pixelcity-smoke-test,pubspec.yaml and test/,small smoke-test package,The app keeps a narrow package manifest and a minimal test entrypoint.,supports fast validation of a bounded slice,implemented,Flutter/Dart,adopt conceptually,scripts/run_fast.ps1 and tests/,Use focused smoke tiers for certificates without importing Flutter tooling.,
pixelcity-smoke-test,"android/, ios/, web/, windows/",multi-platform application scaffold,The reference carries platform-specific application targets.,ships a user-facing app,implemented,Flutter platforms,reject,none,External application/platform code is explicitly outside the mathematical core.,
