key,threat_L2,access,theorem_location,claims_affected,verdict,level3
errortransportationinsvdbasedtensortrainapproximations,3,ABSTRACT_ONLY,"HAL hal-05554951 abstract/metadata only (full text behind HAL bot challenge; not bypassed): global error decomposition, a priori bounds, chain-case Pythagorean identity",H1;H2,"Local truncation errors of TT-SVD/TT-HSVD are transported through a dimension tree by algorithmic transport operators; resulting bounds carry data- and tree-dependent conditioning factors (placement-dependent, opposite of H2) and are sharp only as a Pythagorean identity for chains; linear single-tensor setting without multilinear maps or projection defects. MANUAL: full text needed.",yes
10.1137/090764189,3,FULL_TEXT,"MPI MiS preprint 27/2009 rev. 2010 (round-1 reading): Lemma 3.8, Lemma 3.10, Theorem 3.11, Remark 3.12, Theorem 3.18 (published numbering may differ)",H1;H2,"Error of a product of node-wise orthogonal projections on one tensor is bounded by the root-sum-square of heterogeneous node-wise errors, in any order (Lemma 3.10); the bound depends only on the multiset of node errors (non-sharp analogue of H2); Theorem 3.18 allocates uniform node tolerances eps/sqrt(2d-3). Non-sharp (Remark 3.12), linear commuting-structure setting, no multilinear maps, no defect ratio.",yes
furmathematikindennaturwissenschaftenleipzighierarchicalsingularvaluedecompositionoftensors,3,FULL_TEXT,Duplicate record (MPI MiS preprint) of 10.1137/090764189; see that row,H1;H2,Duplicate of Grasedyck 2010; same verdict.,no
10.1016/j.jmaa.2014.11.044,3,FULL_TEXT,"arXiv:1407.5100v2: Prop. 2.4 (m=2, alpha=(a1+a2-2a1a2)/(1-a1a2), from Ogura-Yamada 2002 Thm 3(b)); Prop. 2.5 with phi in (2.8) (m factors, heterogeneous alpha_i, symmetric); Remark 2.7 (comparison with max-based constant (2.22))",H1;H2;H4,"Heterogeneous composition constant phi(alpha_1..alpha_m)=1/(1+1/sum alpha_i/(1-alpha_i)) for T_1...T_m, symmetric in the alpha_i (order-independent) and strictly better than the max-based uniform constant; tightness shown elsewhere only for m=2 (Huang-Ryu-Yin 2020 Cor. 1); not stated for m>=3 in sources read. Different functional (averagedness of nonexpansive compositions), no projections interleaved with multilinear maps; closest structural analogue of H1-vs-fallback and of H2.",yes
10.48550/arxiv.1407.5100,3,FULL_TEXT,Duplicate (arXiv) of 10.1016/j.jmaa.2014.11.044,H1;H2;H4,Duplicate of Combettes-Yamada 2015; same verdict.,no
10.1016/j.jmaa.2020.124211,2,FULL_TEXT,"arXiv:1912.01593 v2/v3 (round-1 reading): Theorem 1 (region of G(N_theta1 N_theta2), heterogeneous theta1,theta2, Cartesian oval), Corollary 1 (tight averagedness constant)",H4;H1,"Rigorous exact Minkowski product of two different disks and tightness of the heterogeneous two-factor averagedness coefficient; two factors, full disks (not angle-capped arcs), smallest disk through 1 rather than max|1-z|; heterogeneity parameter is disk radius, not an angle cap.",yes
10.48550/arxiv.1912.01593,2,FULL_TEXT,Duplicate (arXiv) of 10.1016/j.jmaa.2020.124211,H4;H1,Duplicate of Huang-Ryu-Yin 2020.,no
10.1137/22m1473790,2,FULL_TEXT,"arXiv:2201.10291v2 Appendix A: Algorithm 7, (A.2), Theorem A.1 (c=||C||(d-1)+1), Remark after Thm A.1 (root tolerance theta/||C|| gives d*theta), proof (A.5)",H1;H2,"Telescoping truncation bound for tree tensor networks with one tolerance theta at all non-root vertices (root may differ); depends only on the number of vertices (non-sharp shape-independence, cf. H2); a node-dependent-tolerance version would follow from the same telescoping but is not stated; first-order-type linear accumulation, no defect ratio, not sharp.",yes
10.1103/physrevx.10.041038,2,FULL_TEXT,"arXiv:2002.07730: Sec. IV.A, Eqs. (16)-(18): F(n) approx prod_i f_i (multiplicative heterogeneous per-gate fidelities), F=(f_inf)^n",H1;H2,"Heuristic (numerically validated) multiplicativity of heterogeneous per-gate truncation fidelities for MPS circuit simulation; an approximation, not a bound; no worst-case constant, no projection-defect model; the order-independence of the product is implicit.",yes
10.1137/090752286,2,SECONDARY,TT-SVD error bound ||A-B|| <= sqrt(sum_k eps_k^2) and quasi-optimality sqrt(d-1) (commonly cited as Thm 2.2 / Cor. 2.4; numbering NOT verified; statement confirmed via Hackbusch MiS preprint 29/2018 eq. (4.13) and remark),H1;H2,"Heterogeneous per-unfolding truncation errors combine by root-sum-square (order-independent, non-sharp); linear single-tensor setting.",no
