theorem_id,dependency_id,relation,dependency_status,circular,proof_evidence
THM_V3_ROOT_ERROR_ORTHOGONALITY,DEF_V3_TYPED_TREE_EVALUATIONS,uses typed ambient/projected definitions,DEFINITION,false,docs/theorems_v3/typed_model.md
THM_V3_EXACT_SUBSET_EXPANSION,DEF_V3_TYPED_TREE_EVALUATIONS,expands the recursive node definitions,DEFINITION,false,docs/theorems_v3/exact_subset_expansion.md
THM_V3_HOMOGENEOUS_AMBIENT_K,THM_V3_EXACT_SUBSET_EXPANSION,bounds every exact subset term,PROVED,false,docs/theorems_v3/homogeneous_constants.md
THM_V3_PROJECTED_ROOT_K_MINUS_ONE,THM_V3_EXACT_SUBSET_EXPANSION,projects away the root local residual,PROVED,false,docs/theorems_v3/homogeneous_constants.md
THM_V3_PROJECTED_ROOT_K_MINUS_ONE,THM_V3_ROOT_ERROR_ORTHOGONALITY,identifies projected and reduced root error,PROVED_UNDER_ASSUMPTIONS,false,docs/theorems_v3/homogeneous_constants.md
THM_V3_OPTIMAL_TELESCOPING_ORDER,,independent adjacent-exchange theorem,NOT_APPLICABLE,false,docs/theorems_v3/telescoping_order.md
THM_V3_NODEWISE_MIXED_CERTIFICATE,THM_V3_EXACT_SUBSET_EXPANSION,enumerates mixed child-error masks,PROVED,false,docs/theorems_v3/nodewise_certificates.md
THM_V3_NODEWISE_MIXED_CERTIFICATE,THM_V3_OPTIMAL_TELESCOPING_ORDER,uses the optimal scalar order as one sound candidate,PROVED_UNDER_ASSUMPTIONS,false,docs/theorems_v3/nodewise_certificates.md
THM_V3_NODEWISE_PATH_SUM,THM_V3_OPTIMAL_TELESCOPING_ORDER,propagates local sources along ordered ancestor paths,PROVED_UNDER_ASSUMPTIONS,false,docs/theorems_v3/nodewise_certificates.md
COR_V3_PROJECTED_TERNARY_ASSOCIATOR_TWO,THM_V3_PROJECTED_ROOT_K_MINUS_ONE,applies the k-1 coefficient to two signed two-node trees,PROVED_UNDER_ASSUMPTIONS,false,docs/theorems_v3/signed_forests.md
