claim_id,status,claim_text,theorem_or_proposition_evidence,experiment_evidence,counterexample_evidence,run_index,figures_or_tables,release_impact
CLM_V2_001,ESTABLISHED_KNOWN_RESULT,"Exact invariant reduction commutes with every declared full ordered tree composition.",THM_EXACT_TYPED_REDUCTION_V2,exact symbolic artifact and parity tests,,artifacts/symbolic_v2/exact_invariant_reduction.json,fig03_exact_reduction_diagram.pdf,No novelty claim; theorem is auditable and reusable.
CLM_V2_002,ESTABLISHED_KNOWN_RESULT,"Multilinear polynomial identities built from the declared operation descend under exact invariance.",THM_OPERADIC_IDENTITY_INHERITANCE_V2,tests/research_v2/test_theorem_examples.py,,artifacts/symbolic_v2/exact_invariant_reduction.json,fig02_ternary_composition_trees.pdf,No novelty claim; convention-dependent scope is explicit.
CLM_V2_003,PROVED_AUXILIARY,"For a tree with k internal nodes, projected evaluation error is at most k rho M^(k-1) times the product of leaf norms.",THM_APPROXIMATE_TREE_BOUND_V2,60 registered runs with five seeds per tree/epsilon group,,artifacts/index/bound_tightness_v2.csv,fig08_closure_convergence.pdf;tables/bound_tightness.tex,Auxiliary certificate; not submission-grade novelty by itself.
CLM_V2_004,ESTABLISHED_KNOWN_RESULT,"Hermitian threshold snapping is stable under a positive gap with a conservative min(1,4||E||/gamma) bound.",THM_SPECTRAL_SNAPPING_GAP_V2,60 positive-gap runs with five seeds per control cell,CE_NO_SPECTRAL_GAP_BREAKS_SNAPPING_CONTINUITY_V2,artifacts/index/spectral_gap_v2.csv,fig07_spectral_gap_stability.pdf;tables/spectral_gap.tex,Standard perturbation consequence; no novelty claim.
CLM_V2_005,VERIFIED_COUNTEREXAMPLE,"Without exact invariance, reduction need not commute with partial composition.",,test_no_invariance_counterexample_breaks_composition,CE_NO_INVARIANCE_BREAKS_COMPOSITION_V2,artifacts/counterexamples_v2/no_invariance_composition.json,fig04_closure_leakage_geometry.pdf,Supports the stated hypothesis boundary.
CLM_V2_006,VERIFIED_COUNTEREXAMPLE,"Without a positive spectral gap, snapping can change by O(1) under perturbations tending to zero.",,test_no_gap_counterexample_has_small_perturbation_but_large_snap_change,CE_NO_SPECTRAL_GAP_BREAKS_SNAPPING_CONTINUITY_V2,artifacts/counterexamples_v2/spectral_gap_sweep.json,fig07_spectral_gap_stability.pdf,Supports fail-closed gap requirement.
CLM_V2_007,VERIFIED_IMPLEMENTATION,"Reference coordinate-loop evaluation, NumPy accelerated evaluation, dense composition, and CP rank-one evaluation agree to floating-point tolerance.",,13 research_v2 tests plus CP parity and five CPU/GPU parity runs,,,tests/research_v2/test_reference_parity.py;tests/research_v2/test_gpu_parity.py,Software evidence only; not mathematical novelty.
CLM_V2_008,VERIFIED_REPRODUCIBILITY,"Every v2 numerical row carries source/config/object/input/seed/backend/precision provenance and is reproducible from registered matrices.",,180 complete runs; 100 unique scientific instances; five seeds per principal family,,,artifacts/index/research_v2_manifest.json;artifacts/index/run_index_v2.csv,preserves legacy history and enables companion release review.
CLM_V2_009,DIAGNOSTIC_ONLY,"CP rank sweep records a representation trade-off for a deterministic finite diagnostic, not a decomposition or identifiability theorem.",,20 CP runs with ranks 0--3,,,artifacts/index/cp_rank_sweep_v2.csv,fig06_cp_rank_tradeoff.pdf;tables/cp_rank_tradeoff.tex,Must remain explicitly diagnostic.
CLM_V2_010,OPEN_BLOCKER,"A genuinely new theorem-level contribution beyond standard restriction, recurrence, and spectral perturbation consequences has not been established.",RESEARCH_BLOCKED.md,,,claims/prior_art_registry.yaml,RESEARCH_BLOCKED.md,Mathematical paper remains draft/not for submission.
