timestamp,database,family,query,request,status,results_total,records_saved,notes
2026-09-14T18:04:01,openalex-verify,CY15,10.1016/j.jmaa.2014.11.044,,OK,3,3,OK
2026-09-14T18:04:01,crossref-verify,CY15,10.1016/j.jmaa.2014.11.044,,OK,,,
2026-09-14T18:04:02,crossref-verify,CY15,10.48550/arxiv.1407.5100,,HTTP404,,,
2026-09-14T18:07:36,openalex-verify,HRY20,10.1016/j.jmaa.2020.124211,,ERROR,1,1,ERROR HTTPError: HTTP Error 429: Too Many Requests
2026-09-14T18:07:36,crossref-verify,HRY20,10.1016/j.jmaa.2020.124211,,OK,,,
2026-09-14T18:08:09,openalex-verify,RHY22,10.1007/s10107-021-01639-w,,OK,2,2,OK
2026-09-14T18:08:10,crossref-verify,RHY22,10.1007/s10107-021-01639-w,,OK,,,
2026-09-14T18:08:12,openalex-verify,OY02,10.1081/NFA-120003674,,OK,4,4,OK
2026-09-14T18:08:13,crossref-verify,OY02,10.1081/NFA-120003674,,OK,,,
2026-09-14T18:08:14,crossref-verify,OY02,10.1081/nfa-120003674,,OK,,,
2026-09-14T18:09:47,openalex-verify,PAT21,title:The scaled relative graph of a linear operator,,OK,1,1,OK
2026-09-14T18:09:48,crossref-verify,PAT21,10.48550/arxiv.2106.05650,,HTTP404,,,
2026-09-14T18:09:58,openalex-cites,CY15,cites:W1998428773,pages=1,OK,112,112,
2026-09-14T18:10:00,openalex-cites,CY15,cites:W2950378366,pages=1,OK,1,1,
2026-09-14T18:10:01,openalex-cites,HRY20,cites:W3024233472,pages=1,OK,12,12,
2026-09-14T18:10:03,openalex-cites,RHY22,cites:W2916081703,pages=1,OK,19,19,
2026-09-14T18:10:06,openalex-cites,OY02,cites:W2093425777,pages=1,OK,77,77,
2026-09-14T18:10:07,openalex-cites,OY02,cites:W7208263737,pages=1,OK,0,0,
2026-09-14T18:10:09,openalex-cites,PAT21,cites:W3168792975,pages=1,OK,4,4,
2026-09-14T18:10:46,openalex,CY1,tight averagedness constant composition of averaged operators,https://api.openalex.org/works?search=tight+averagedness+constant+composition+of+averaged+operators&per-page=25,OK,37,25,after backoff 30s
2026-09-14T18:14:19,arxiv,CY1,tight averagedness constant composition of averaged operators,,BLOCKED,,0,still failing after backoff 30/60/120 s: HTTPError: HTTP Error 429: Unknown Error
2026-09-14T18:17:54,semanticscholar,CY1,tight averagedness constant composition of averaged operators,,BLOCKED,,0,still failing after backoff 30/60/120 s: HTTPError: HTTP Error 429:
2026-09-14T18:18:01,openalex,CY1,composition of m averaged operators tight coefficient,https://api.openalex.org/works?search=composition+of+m+averaged+operators+tight+coefficient&per-page=25,OK,35069,25,
2026-09-14T18:21:42,openalex,CY1,firmly nonexpansive composition contraction factor tight,https://api.openalex.org/works?search=firmly+nonexpansive+composition+contraction+factor+tight&per-page=25,OK,54,25,v2
2026-09-14T18:21:44,openalex,CY1,conic operators composition sharp coefficient,https://api.openalex.org/works?search=conic+operators+composition+sharp+coefficient&per-page=25,OK,883,25,v2
2026-09-14T18:21:46,openalex,CY1,averaged nonexpansive operators composition optimal constant,https://api.openalex.org/works?search=averaged+nonexpansive+operators+composition+optimal+constant&per-page=25,OK,707,25,v2
2026-09-14T18:21:48,openalex,CY1,composition of finitely many averaged mappings averagedness constant,https://api.openalex.org/works?search=composition+of+finitely+many+averaged+mappings+averagedness+constant&per-page=25,OK,47,25,v2
2026-09-14T18:21:51,openalex,CY2,scaled relative graph composition tight,https://api.openalex.org/works?search=scaled+relative+graph+composition+tight&per-page=25,OK,103244,25,v2
