group,key,threat,claims,title,year,doi,arxiv,openalex,reason
A,errortransportationinsvdbasedtensortrainapproximations,3,R1a;R3;R9,ERROR TRANSPORTATION IN SVD-BASED TENSOR-TRAIN APPROXIMATIONS,2026,,,https://openalex.org/W7139529380,Algorithm-level transport of local truncation errors through general dimension trees with tree-dependent conditioning factors and sharp chain-case bounds; similar error-propagation result for TT/HT truncation under different assumptions
A,10.1137/120885723,3,R1a;R9,Dynamical Approximation by Hierarchical Tucker and Tensor-Train Tensors,2013,10.1137/120885723,,https://openalex.org/W2067067855,Tangent-space projector analysis with curvature estimates and quasi-best approximation for HT/TT dynamical approximation; projection error bounds in tree formats under different assumptions
A,10.1137/15m1026791,3,R1a;R9,Discretized Dynamical Low-Rank Approximation in the Presence of Small Singular Values,2016,10.1137/15m1026791,,https://openalex.org/W2102688209,Error bounds for projector-splitting low-rank matrix and TT integrators robust to small singular values; projection error accumulation bounds in TT under different assumptions
A,10.1137/24m1714502,3,R1a;R3;R9,A Parallel Basis Update and Galerkin Integrator for Tree Tensor Networks,2026,10.1137/24m1714502,,https://openalex.org/W7118000766,Parallel BUG integrator for general tree tensor networks with robust error bound; error bound for projected tree tensor network dynamics under different assumptions
A,10.1137/090748330,3,R1a;R9,"Breaking the Curse of Dimensionality, Or How to Use SVD in Many Dimensions",2009,10.1137/090748330,,https://openalex.org/W1995406764,TT-SVD; known TT truncation error bound
A,10.1103/physrevlett.91.147902,3,R1a;R9;R10,Efficient Classical Simulation of Slightly Entangled Quantum Computations,2003,10.1103/physrevlett.91.147902,,https://openalex.org/W2036604884,MPS truncation error accumulation (Vidal)
A,10.1007/s00211-013-0544-6,3,R1a;R9,$$L^{\infty }$$ estimation of tensor truncations,2013,10.1007/s00211-013-0544-6,,https://openalex.org/W1999591588,error estimates for tensor truncations
A,10.1103/physrevb.98.085155,3,R1a;R9,"Gauge fixing, canonical forms, and optimal truncations in tensor networks with closed loops",2018,10.1103/physrevb.98.085155,,https://openalex.org/W2783751034,optimal truncations in tensor networks
A,10.1137/110836067,3,R1a;R9,A New Truncation Strategy for the Higher-Order Singular Value Decomposition,2012,10.1137/110836067,,https://openalex.org/W2055913665,HOSVD truncation strategy with likely error bound
A,10.1016/j.laa.2014.06.006,3,R1a;R9,Quasioptimality of maximum-volume cross interpolation of tensors,2014,10.1016/j.laa.2014.06.006,,https://openalex.org/W2134793668,quasioptimality error bound for tensor cross interpolation
A,10.1007/s10208-013-9187-3,3,R1a;R9,Adaptive Near-Optimal Rank Tensor Approximation for High-Dimensional Operator Equations,2014,10.1007/s10208-013-9187-3,,https://openalex.org/W2112160616,near-optimal hierarchical tensor approximation with error control
A,10.1016/j.laa.2011.02.026,3,R1b;R7,Derivatives for antisymmetric tensor powers and perturbation bounds,2011,10.1016/j.laa.2011.02.026,,https://openalex.org/W1965684525,perturbation bounds for antisymmetric tensor powers (multilinear)
A,10.1137/090752286,3,R1a;R9,Tensor-Train Decomposition,2011,10.1137/090752286,,https://openalex.org/W1993482030,TT-SVD truncation error bound
A,10.1007/s10444-018-9622-8,3,R1a;R9,Randomized algorithms for the approximations of Tucker and the tensor train decompositions,2018,10.1007/s10444-018-9622-8,,https://openalex.org/W2852445398,randomized Tucker/TT approximation with error bounds
A,10.1007/978-3-642-28027-6,3,R1a;R9,Tensor Spaces and Numerical Tensor Calculus,2012,10.1007/978-3-642-28027-6,,https://openalex.org/W50417968,HT/tensor-format truncation error theory (monograph)
A,10.1007/978-3-030-35554-8,3,R1a;R9,Tensor Spaces and Numerical Tensor Calculus,2019,10.1007/978-3-030-35554-8,,https://openalex.org/W4288938614,HT/tensor-format truncation error theory (monograph)
