claim_id,status,claim_text,theorem_or_proposition_evidence,implementation_evidence,numerical_or_exact_evidence,limitation,release_impact
CLM_V3_001,PROVED_UNDER_ASSUMPTIONS,"The four named root errors obey Pythagorean and reduced/projected identities.",THM_V3_ROOT_ERROR_ORTHOGONALITY,src/seion_core/research_v3/projected_evaluation.py,tests/research_v3/unit/test_evaluation.py,"Finite Hilbert spaces and orthogonal projectors only.",Supports exact semantics
CLM_V3_002,PROVED,"Every node error has an exact nonempty-subset expansion plus its local normal residual.",THM_V3_EXACT_SUBSET_EXPANSION,src/seion_core/research_v3/error_expansion.py,tests/research_v3/symbolic/test_error_expansion.py,"Identity is algebraic and not a sharpness theorem.",Supports all certificates
CLM_V3_003,PROVED_UNDER_ASSUMPTIONS,"Ambient error has universal coefficient k.",THM_V3_HOMOGENEOUS_AMBIENT_K,src/seion_core/research_v3/certificates.py,tests/research_v3/certificates/test_certificates.py,"Fixed-eta optimality remains open.",Upper-bound theorem only
CLM_V3_004,PROVED_UNDER_ASSUMPTIONS,"Projected-root and reduced error have universal coefficient k-1.",THM_V3_PROJECTED_ROOT_K_MINUS_ONE,src/seion_core/research_v3/certificates.py,tests/research_v3/regression/test_projected_k_minus_one.py,"Novelty and fixed-eta sharpness are not established.",Central v3 result pending human review
CLM_V3_005,PROVED_UNDER_ASSUMPTIONS,"A sign-partitioned ratio sort minimizes the declared telescoping certificate.",THM_V3_OPTIMAL_TELESCOPING_ORDER,src/seion_core/research_v3/telescoping_order.py,tests/research_v3/property/test_telescoping_order.py,"Optimizes this scalar upper bound, not fixed-law error.",Algorithmic certificate
CLM_V3_006,PROVED_UNDER_ASSUMPTIONS,"Nodewise mixed-mask and path-sum certificates are computable for typed heterogeneous trees.",THM_V3_NODEWISE_MIXED_CERTIFICATE;THM_V3_NODEWISE_PATH_SUM,src/seion_core/research_v3/certificates.py,tests/research_v3/certificates/test_certificates.py,"Information-optimality is open.",Candidate contribution; novelty fail-closed
CLM_V3_007,CERTIFIED_LOWER_BOUND,"Planar gated rotations provide explicit admissible lower constructions.",,src/seion_core/research_v3/extremizers.py,src/seion_core/research_v3/interval_certification.py,"They do not match every fixed-eta upper bound.",Sharpness evidence only
CLM_V3_008,EMPIRICAL_LOWER_BOUND,"Gradient and derivative-free searches provide empirical lower bounds.",,src/seion_core/research_v3/adversarial_search.py,tests/research_v3/adversarial/test_searches.py,"No global optimality follows from optimizer output.",Numerical diagnostic
CLM_V3_009,PROVED_UNDER_ASSUMPTIONS,"The projected five-input ternary associator has triangle coefficient two.",COR_V3_PROJECTED_TERNARY_ASSOCIATOR_TWO,src/seion_core/research_v3/polynomial_forests.py,tests/research_v3/unit/test_forests_and_cp_budget.py,"Sharpness after cancellation is open.",Improves v2 coefficient four
CLM_V3_010,OPEN,"The fixed-eta constants and information-optimal local-summary certificate are fully sharp.",,src/seion_core/research_v3/extremizers.py,,"No matching certified construction exists for the full family.",Blocks sharp-title and submission gate
